time,text,location,userid,screenname
2019-04-07 11:23:32,b'#IsBaarPhirModi #WorldHealthDay \n#AbHogaNyay #MainBhiChowkidar #BJP #INC #PhirEkBaarModiSarkar\n#Congress #IPL2019 #SRHvMI #Elections2019 #Elections\n#LokSabhaElections2019 \n#SundayThoughts #Modi\n#NarendraModi #RahulGandhi\n\n\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9d\x8c\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\xe2\x9e\x96\n\nWhich is a better slogan?',"City of Joy, Kolkata",4092164532,Bae_Sharma
2019-04-07 11:15:55,b'Where is #KapilSibbal ? in #UK  ? Why ?   #CrookedRahulGandhi  #Modi',NewDelhi India,99482974,heritageimpex
2019-04-07 11:00:52,"b'Share it , this fire \xf0\x9f\x94\xa5 must spread all over  \n@RajThackeray rips apart #Modi Government\xe2\x80\x99s five years.. \xf0\x9f\x92\xa5after listening to him no sensible human being will vote for #BJP \n\nRaj Thackeray Gudi Padwa speech 2019 | \xe0\xa4\xb0\xe0\xa4\xbe\xe0\xa4\x9c \xe0\xa4\xa0\xe0\xa4\xbe\xe0\xa4\x95\xe0\xa4\xb0\xe0\xa5\x87 \xe0\xa4\x97\xe0\xa5\x81\xe0\xa4\xa2\xe0\xa5\x80 \xe0\xa4\xaa\xe0\xa4\xbe\xe0\xa4\xa1\xe0\xa4\xb5\xe0\xa4\xbe \xe0\xa4\xad\xe0\xa4\xbe\xe0\xa4\xb7\xe0\xa4\xa3 \xe0\xa5\xa8\xe0\xa5\xa6\xe0\xa5\xa7\xe0\xa5\xaf https://t.co/wkFzJotTtE via @YouTube'",mumbai,322170475,Chemburstudio
2019-04-07 10:59:49,"b""@BDUTT @WeTheWomenAsia Non of the rapist involved got Capital punishment,\nOne of them is set Free from prison because he was few weeks short of being technically 'Adult'.\nSo, basically this was another propaganda tool for election by BJP.\n#LokSabhaElections2019 \n#MahaParivartan \n#Modi""","Lucknow, India",952820065350565888,Dr_Rajesh369
2019-04-07 10:58:32,b'Not a fan of Raj Thackeray and his politics but this speech of his on Gudo padwa is unmissable! Must watch for those understand marathi!! #ModiMadeDisaster #LokSabhaElections2019 #Modi https://t.co/1ODWDPRF30',"Mumbai, India",19151104,ashson09
2019-04-07 10:55:02,b'This is too much. #HRDminister minister r u listening? \n#PMindia \n#Modi \n#YogiAdityanath \n#education_minister \n#UttarPradesh \n#Noida https://t.co/MsDKsDMKNO',भारत,611364175,crazzybulll
2019-04-07 10:54:58,"b""Literate Muslim views on #Modi !\nAnd you can  feel @ArvindKejriwal @RahulGandhi ashamed that you politics didn't work well ! https://t.co/oZx5Lbm9nO""",India,3284536836,swaroop_wagh
2019-04-07 10:54:41,b'https://t.co/vnTTPwIrti Did really Modi promises 15 lakhs to citizens of country? Was that a sarcasm for black money? Congress and BJP supporters need to see this video. #Modi @INCIndia @BJP4India',India,212890495,humour_spill
2019-04-07 10:50:39,"b'Didi frustrated, petrified at defeat: #Modi \n\n#LokSabhaElections2019 #MamataBanerjee \n\nhttps://t.co/YNgDOZ0GQG'",India,777927231658004480,thenglishpost
2019-04-07 10:49:54,b'We want anybody but #Modi as PM of India says #TMC MP Sajda Ahmed \nhttps://t.co/dYOzBkNqOo #Bengal #LokSabha2019 @ndsharma @NalinAnant',"Kolkata, India",821100031851843589,enewsroomindia
2019-04-07 10:49:41,"b'@dukki25 How politicians like 2 take full credit 4 anything good dat happens in d nation.Come on Mr #sharadpawar-lay off such claims. No 1, rpt ""No One"",can stop d winds of change as far as tech goes-no #Gandhi #Pawar #Modi whoever.\nLet\'s talk #Politicians n their #Excesses #1984Genocide!'","Mumbai, India",856559934967869441,AjitBhaskar8
2019-04-07 10:36:43,b'#AbHogaNYAY!On #WorldHealthDay:BeforGoing #IsBaarPhirModi;understand that Breaking&amp;Bulldozing-History&amp;Humanity comesEasyTo people like #Modi who know No-History to start with;Renovation&amp;Preservation is never an option to them!   \n#RCBvDC\n#TaiwanExcellence\nhttps://t.co/RQfWdrTxuJ',India,3272782980,ipsita165
2019-04-07 10:36:11,"b""@_pallavighosh @waglenikhil My take...What's the alternate to #Modi ? Isn't a question in overall #South, #WestBengal #Jharkhand #Kashmir  #NorthEast (minus #Tripura #ArunachalPradesh)  Selectively in #UP #Bihar #Rajasthan #Chattisgarh #Haryana.""",INDIA,74121873,PraveenDutta
2019-04-07 10:26:12,"b""sincere request to all #modibhakts not to abuse opposition leaders....they abused Modi Modi parents Modi wife \nnow it's just as simple each time they abuse #Modi they are digging their own graveyard #kabristan""",Bidar,917786201867689984,Uppinrahul
2019-04-07 10:23:09,b'@NazaninBoniadi @AnupamPKher Can we use #Modi instead of Terror ?',Mumbai,101689793,ali2705
2019-04-07 10:20:09,b'@UP_Silk Thank u very much Sir for following #NamoAgain #MaiBhiChowkidar #modi \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f',Mumbai,2254535298,deepakjgoswami
2019-04-07 10:19:27,"b'4 Times CM and Now PM, He has Proved his worthiness for PM. That\xe2\x80\x99s #Modi \nNot a Single Work Done for Country, doesn\xe2\x80\x99t know what to speak, Background of Corrupt Family; Still fighting to become PM. That\xe2\x80\x99s #RahulGandhi \n#NarendraModi #NamoAgain #ModiHaiToMumkinHai'",Mumbai,344629192,vinitmatlani
2019-04-07 10:09:26,"b""#Modi so pathetic. It's game over for him. \xf0\x9f\x91\x8e https://t.co/fDBfGEgVW6""",Mumbai,2956157497,MiraNaik
2019-04-07 09:59:44,"b'@drshamamohd PM #Modi says a vote for #BJP is a vote for him.\n\nBut a vote for #Congress is a vote for corruption, unemployment, farmer distress, communal violence, false promises...\n\nThis is how it should be !!\nThanks for warning the voters, Modiji\xf0\x9f\x99\x8f\n\n#IsBaarPhirModi \n#IndiaWantsModiAgain'",India,728966966585647104,ambivertankit
